Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
9540,HYUNDAI HEAVY INDUSTRIES LTD,Equity,0.52,120.97,"181,168.00","21,916,158.46",-,Industrials,6446620,KR7009540006,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
9830,HANWHA CHEMICAL,Equity,0.48,30.66,"665,491.00","20,402,900.73",-,Materials,6407768,KR7009830001,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
5387,HYUNDAI MOTOR CO 2ND PRF,Equity,0.48,90.22,"223,623.00","20,175,424.42",-,Consumer Discretionary,6148272,KR7005382007,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
6800,DAEWOO SECURITIES,Equity,0.48,8.57,"2,343,470.00","20,082,557.58",-,Financials,6249658,KR7006800007,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
2790,AMOREG,Equity,0.47,116.35,"169,531.00","19,725,649.64",-,Consumer Staples,6665931,KR7002790004,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
5830,DB INSURANCE LTD,Equity,0.46,64.18,"304,498.00","19,542,534.86",-,Financials,6155937,KR7005830005,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
78930,GS HOLDINGS,Equity,0.46,61.04,"318,348.00","19,431,898.42",-,Energy,B01RJV3,KR7078930005,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
47810,KOREA AEROSPACE INDUSTRIES LTD,Equity,0.45,46.45,"411,889.00","19,131,975.90",-,Industrials,B3N3363,KR7047810007,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
71050,KOREA INVESTMENT HOLDINGS LTD,Equity,0.45,72.49,"262,328.00","19,016,296.98",-,Financials,6654586,KR7071050009,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
35250,KANGWON LAND INC,Equity,0.44,26.64,"695,027.00","18,516,510.25",-,Consumer Discretionary,6683449,KR7035250000,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
10060,OCI LTD,Equity,0.42,151.91,"116,284.00","17,664,343.89",-,Materials,6497004,KR7010060002,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
720,HYUNDAI ENGINEERING & CONSTRUCTION,Equity,0.42,35.55,"492,349.00","17,504,327.73",-,Industrials,6450988,KR7000720003,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
8770,HOTEL SHILLA CO LTDINARY SHARES KO,Equity,0.42,75.54,"231,565.00","17,491,935.54",-,Consumer Discretionary,6440332,KR7008770000,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
138930,BNK FINANCIAL GROUP INC,Equity,0.41,10.34,"1,689,881.00","17,477,760.83",-,Financials,B3S98W7,KR7138930003,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
4170,SHINSEGAE INC,Equity,0.4,316.74,"53,230.00","16,860,181.00",-,Consumer Discretionary,6805049,KR7004170007,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
128940,HANMI PHARMACEUTICAL CO. LTD.,Equity,0.4,427.56,"39,121.00","16,726,404.10",-,Health Care,B613DJ9,KR7128940004,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
86900,MEDY-TOX INC,Equity,0.39,557.76,"29,247.00","16,312,852.53",-,Health Care,B3L2NF1,KR7086900008,Korea Exchange (Kosdaq),Korea (South),USD,KRW,"1,082.90"
1450,HYUNDAI MARINE & FIRE INSURANCE LT,Equity,0.37,38.14,"413,894.00","15,785,226.89",-,Financials,B01LXY6,KR7001450006,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
16360,SAMSUNG SECURITIES LTD,Equity,0.37,36.57,"429,381.00","15,701,807.74",-,Financials,6408448,KR7016360000,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
86280,HYUNDAI GLOVIS LTD,Equity,0.37,131.59,"119,013.00","15,661,051.34",-,Industrials,B0V3XR5,KR7086280005,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
4800,HYOSUNG CORP,Equity,0.36,115.43,"132,669.00","15,314,087.17",-,Materials,6896838,KR7004800009,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
97950,CJ CHEILJEDANG CORP,Equity,0.36,312.12,"49,042.00","15,307,226.89",-,Consumer Staples,B2492F5,KR7097950000,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
18880,HANON SYSTEMS,Equity,0.35,11.54,"1,290,381.00","14,894,969.53",-,Consumer Discretionary,B00LR01,KR7018880005,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
251270,NETMARBLE GAMES CORP,Equity,0.34,136.21,"104,667.00","14,256,517.22",-,Information Technology,BF2S426,KR7251270005,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
1040,CJ CORP,Equity,0.34,153.75,"92,162.00","14,170,258.56",-,Industrials,6189516,KR7001040005,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
271560,ORION CORP,Equity,0.33,99.73,"139,951.00","13,957,621.20",-,-,BDVLJ72,KR7271560005,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
23530,LOTTE SHOPPING LTD,Equity,0.33,190.69,"72,917.00","13,904,663.87",-,Consumer Discretionary,B0WGPZ5,KR7023530009,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
139130,DGB FINANCIAL GROUP,Equity,0.33,11.45,"1,213,204.00","13,892,076.46",-,Financials,B68N347,KR7139130009,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
12630,HYUNDAI DEVELOPMENT CO ENGINEER,Equity,0.33,34.91,"397,955.00","13,891,124.76",-,Industrials,6402428,KR7012630000,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
2380,KCC CORP,Equity,0.31,334.75,"38,603.00","12,922,326.62",-,Industrials,6490917,KR7002380004,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
5385,HYUNDAI MOTOR PREF,Equity,0.31,82.93,"155,563.00","12,900,136.12",-,Consumer Discretionary,6451022,KR7005381009,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
5940,NH INVESTMENT & SECURITIES LTD,Equity,0.3,13.21,"969,116.00","12,797,450.18",-,Financials,6537085,KR7005940002,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
880,HANWHA CORP,Equity,0.3,40.77,"312,951.00","12,759,060.53",-,Industrials,6496755,KR7000880005,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
210,DAELIM INDUSTRIAL LTD,Equity,0.3,68.52,"183,300.00","12,559,663.87",-,Industrials,6249584,KR7000210005,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
10140,SAMSUNG HEAVY INDUSTRIES LTD,Equity,0.3,7.9,"1,582,424.00","12,493,974.70",-,Industrials,6772217,KR7010140002,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
4990,LOTTE CORP,Equity,0.29,57.9,"209,725.00","12,143,094.93",-,Industrials,6535432,KR7004990008,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
11070,LG INNOTEK LTD,Equity,0.28,121.89,"97,320.00","11,862,812.82",-,Information Technology,B39Z8G8,KR7011070000,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
12750,S-1 CORP,Equity,0.28,88.65,"130,953.00","11,609,094.10",-,Industrials,6180230,KR7012750006,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
100,YUHAN CORP,Equity,0.27,192.08,"59,348.00","11,399,375.75",-,Health Care,6988337,KR7000100008,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
11780,KUMHO PETRO CHEMICAL LTD,Equity,0.27,83.66,"135,620.00","11,346,543.54",-,Materials,6499323,KR7011780004,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
-,ING LIFE INSUR,-,0.27,48.76,"230,610.00","11,244,074.25",-,Financials,BF20GG0,KR7079440004,-,KO,USD,KRW,"1,082.90"
51915,LG CHEM LTD PRF,Equity,0.26,198.08,"55,945.00","11,081,542.62",-,Materials,6346924,KR7051911006,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
88350,HANWHA LIFE INSURANCE LTD,Equity,0.26,6.2,"1,781,157.00","11,036,627.08",-,Financials,B62B9W7,KR7088350004,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
130960,CJ E&M CORP,Equity,0.26,79.97,"134,489.00","10,755,145.81",-,Consumer Discretionary,B670SY4,KR7130960008,Korea Exchange (Kosdaq),Korea (South),USD,KRW,"1,082.90"
3490,KOREAN AIR LINES LTD,Equity,0.25,30.15,"347,297.00","10,471,185.75",-,Industrials,6496766,KR7003490000,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
6360,GS ENGINEERING & CONSTRUCTION CORP,Equity,0.25,26.96,"385,293.00","10,389,283.96",-,Industrials,6537096,KR7006360002,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
BLKFDS,BLK CSH FND TREASURY SL AGENCY,Cash,0.25,100,"10,335,766.25","10,335,766.25",-,-,-,US0669224778,-,United States,USD,USD,1
9240,HANSSEM CO LTD,Equity,0.24,138.06,"74,424.00","10,274,621.85",-,Consumer Discretionary,6536684,KR7009240003,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
90435,AMOREPACIFIC CORP. NON-VOTING PREF,Equity,0.22,140.36,"66,281.00","9,303,455.54",-,Consumer Staples,B1638D8,KR7090431008,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
28670,PAN OCEAN LTD,Equity,0.22,5.48,"1,695,174.00","9,282,834.81",-,Industrials,B24FX49,KR7028670008,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
36460,KOREA GAS CORP,Equity,0.22,42.39,"218,855.00","9,276,428.57",-,Utilities,6182076,KR7036460004,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
51905,LG HOUSEHOLD & HEALTH CARE LTD. PR,Equity,0.22,567,"16,252.00","9,214,819.47",-,Consumer Staples,6346935,KR7051901007,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
69960,HYUNDAI DEPARTMENT STORE LTD,Equity,0.22,84.4,"108,021.00","9,117,295.60",-,Consumer Discretionary,6568610,KR7069960003,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
30000,CHEIL WORLDWIDE INC,Equity,0.21,17.18,"519,361.00","8,920,597.10",-,Consumer Discretionary,6093231,KR7030000004,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
8930,HANMI SCIENCE LTD,Equity,0.21,77.57,"112,963.00","8,762,482.22",-,-,6146083,KR7008930000,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
241560,DOOSAN BOBCAT INC,Equity,0.21,31.4,"276,267.00","8,674,003.14",-,Industrials,BYX9GP8,KR7241560002,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
29780,SAMSUNG CARD LTD,Equity,0.2,33.52,"248,688.00","8,336,295.50",-,Financials,B1WQQ48,KR7029780004,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
-,BGF RETAIL CO L,-,0.2,160.68,"51,734.00","8,312,601.35",-,Consumer Staples,BD95QN1,KR7282330000,-,KO,USD,KRW,"1,082.90"
120,CJ LOGISTICS CORP,Equity,0.18,122.36,"63,549.00","7,775,641.80",-,Industrials,6497112,KR7000120006,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
7070,GS RETAIL LTD,Equity,0.18,33.24,"230,448.00","7,661,028.72",-,Consumer Staples,B7F9Q79,KR7007070006,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
12450,HANWHA TECHWIN LTD,Equity,0.18,26.92,"282,398.00","7,601,719.18",-,Industrials,6772671,KR7012450003,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
26960,DONG SUH INC,Equity,0.18,25.72,"294,458.00","7,572,864.81",-,Consumer Staples,6605993,KR7026960005,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
51600,KEPCO PLANT SERVICE & ENGINEERING,Equity,0.18,37.26,"202,580.00","7,548,345.18",-,Industrials,B29ZGV2,KR7051600005,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
11210,HYUNDAI WIA CORP,Equity,0.17,53.65,"135,847.00","7,288,494.51",-,Consumer Discretionary,B3LF565,KR7011210002,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
47050,POSCO DAEWOO CORP,Equity,0.17,18.65,"375,459.00","7,003,667.74",-,Industrials,6344274,KR7047050000,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
1740,SK NETWORKS LTD,Equity,0.16,5.52,"1,234,228.00","6,815,664.83",-,Industrials,B04PZG1,KR7001740000,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
7310,OTTOGI CORP,Equity,0.16,652.88,"10,401.00","6,790,568.84",-,Consumer Staples,6658373,KR7007310006,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
34020,DOOSAN HEAVY INDUSTRIES & CONSTRUC,Equity,0.16,13.81,"484,144.00","6,683,860.74",-,Industrials,6294670,KR7034020008,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
47040,DAEWOO ENGINEERING & CONSTRUCTION,Equity,0.14,4.82,"1,237,129.00","5,963,443.88",-,Industrials,6344122,KR7047040001,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
30200,KT CORP,Equity,0.13,25.76,"205,716.00","5,300,098.25",-,Telecommunication Services,6505316,KR7030200000,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
5935,SAMSUNG ELECTRONICS NON VOTING PRE,Equity,0.07,"1,842.28","1,535.00","2,827,892.70",-,Information Technology,6773812,KR7005931001,Korea Exchange (Stock Market),Korea (South),USD,KRW,"1,082.90"
